rank,name,handle,group,role,followers,following,connections,in_degree,out_degree,cross_follow_count,cross_follow_ratio,posts_count,comments_count,likes_count,reposts_count,association_weight,association_weight_norm,semantic_ai,pagerank,grey_relation,quanzhong_score,location,website,joinedDate,verified
286,Kazuki Fujisawa,kazu_fujisawa,investor,藤沢数希 (pen name),206157,2136,1,1,0,0,0.0,0,0,0,0,0.02,0.0,0.0,0.00085606,0.346448,0.259836,Hong Kong,https://www.kinyuunikki.com/,Jan 2010,blue
287,Mitchell Hashimoto,mitchellh,founder,Co-founder at HashiCorp,162654,143,2,2,0,0,0.0,0,0,0,0,0.041212,0.001032,0.0,0.00104474,0.346092,0.259827,"Los Angeles, CA",https://mitchellh.com,Jan 2008,blue
288,Geoffrey Litt,geoffreylitt,founder,,21588,1768,7,5,2,0,0.0,0,0,0,0,0.21234,0.009356,0.0,0.00176088,0.34297,0.259566,"Washington, DC",https://www.geoffreylitt.com,Nov 2010,blue
289,Brent Mayo,BrentM_SpaceX,founder,SpaceX,21706,198,5,1,4,0,0.0,0,0,0,0,0.315471,0.014372,0.0,0.0006351,0.34106,0.259388,,,Mar 2022,blue
290,Peter Berezin,PeterBerezinBCA,founder,CTO,43706,661,2,1,1,0,0.0,0,0,0,0,0.058889,0.001892,0.125,0.0006736,0.344759,0.259042,Hilbert space,http://www.bcaresearch.com,Mar 2017,blue
291,Tatiana Tsiguleva,ciguleva,founder,Creative ambassador @perplexity_ai,85907,1433,3,2,1,0,0.0,0,0,0,0,0.06,0.001946,0.0,0.00137224,0.34449,0.258854,Canada,https://ciguleva.substack.com,Nov 2017,blue
292,Dario TLO Wünsch,TLOgg,founder,Co-founder at deepmind,39528,1241,1,1,0,0,0.0,0,0,0,0,0.044872,0.00121,0.125,0.00077769,0.343866,0.258202,Alpha Quadrant,http://TLO.gg,Feb 2011,
293,Jasper,zjasper,company,Co-founder & CEO,14866,1727,7,2,5,0,0.0,0,0,0,0,0.169026,0.007249,0.0,0.00075708,0.341215,0.257724,"California, USA",http://hyperbolic.ai,Nov 2018,blue
294,NVIDIA GeForce PL,NVIDIAGeForcePL,company,NVIDIA Poland,17393,225,4,3,1,0,0.0,0,0,0,0,0.226794,0.010059,0.0,0.00110703,0.339752,0.257329,Polska,http://www.nvidia.pl,Dec 2009,blue
295,NVIDIA GeForce TR,nvidiageforcetr,company,NVIDIA Turkey,58151,72,2,1,1,0,0.0,0,0,0,0,0.079392,0.002889,0.0,0.00071297,0.341671,0.256976,,https://www.nvidia.com/,Sep 2017,blue
296,Jonathan Gorard,getjonwithit,founder,Princeton,43651,18,3,3,0,0,0.0,0,0,0,0,0.06,0.001946,0.0,0.00086058,0.341194,0.256382,"Princeton, NJ",,Nov 2012,
297,Seth Harp,sethharpesq,founder,,72392,1032,1,1,0,0,0.0,0,0,0,0,0.02625,0.000304,0.0,0.0006736,0.341652,0.256315,"Austin, TX",https://www.penguinrandomhouse.com/books/730414/the-fort-bragg-cartel-by-seth-harp/,Sep 2020,
298,"Lorwen C Nagle, PhD",LORWEN108,founder,Harvard,72883,143,1,1,0,0,0.0,0,0,0,0,0.02,0.0,0.0,0.00067392,0.341666,0.25625,Book a free discovery call:,https://calendly.com/lorwen_consulting/enlightenment-session,Mar 2015,blue
299,Mattt,mattt,company,huggingface,33870,65,2,1,1,0,0.0,0,0,0,0,0.044138,0.001174,0.0,0.00079411,0.339906,0.255223,"Portland, OR",https://github.com/mattt,Dec 2006,blue
300,Jerrod Lew,jerrod_lew,media,"Artist, creator and educator",14872,2764,2,1,1,0,0.0,0,0,0,0,0.04,0.000973,0.0,0.0007136,0.337442,0.253325,Australia,https://jerrodlew.com/,May 2023,blue
